repository_name,type,event_date,total_events
BVLC/caffe,IssueCommentEvent,2016-05-29,7
BVLC/caffe,WatchEvent,2017-10-03,7
BVLC/caffe,IssueCommentEvent,2016-11-02,7
BVLC/caffe,IssueCommentEvent,2015-12-08,7
BVLC/caffe,IssueCommentEvent,2018-02-06,7
BVLC/caffe,WatchEvent,2015-01-02,7
BVLC/caffe,WatchEvent,2015-04-13,7
BVLC/caffe,IssueCommentEvent,2018-03-13,7
BVLC/caffe,WatchEvent,2015-03-07,7
BVLC/caffe,WatchEvent,2015-01-31,7
BVLC/caffe,IssueCommentEvent,2017-01-02,7
BVLC/caffe,IssueCommentEvent,2017-04-29,7
BVLC/caffe,IssueCommentEvent,2017-10-03,7
BVLC/caffe,IssueCommentEvent,2016-09-21,7
BVLC/caffe,WatchEvent,2015-04-19,7
BVLC/caffe,WatchEvent,2015-02-19,7
BVLC/caffe,IssueCommentEvent,2017-06-04,7
BVLC/caffe,IssueCommentEvent,2018-01-26,7
BVLC/caffe,IssueCommentEvent,2018-03-10,7
BVLC/caffe,IssueCommentEvent,2016-06-20,7
BVLC/caffe,IssueCommentEvent,2017-09-08,7
BVLC/caffe,IssueCommentEvent,2018-03-23,7
BVLC/caffe,IssueCommentEvent,2018-05-27,7
BVLC/caffe,IssueCommentEvent,2016-02-06,7
BVLC/caffe,IssueCommentEvent,2015-01-03,7
BVLC/caffe,IssueCommentEvent,2017-07-06,7
BVLC/caffe,IssueCommentEvent,2017-02-12,7
BVLC/caffe,IssueCommentEvent,2016-08-14,7
BVLC/caffe,IssueCommentEvent,2017-12-07,7
BVLC/caffe,WatchEvent,2015-06-16,7
BVLC/caffe,IssueCommentEvent,2016-09-20,7
BVLC/caffe,IssueCommentEvent,2017-01-14,7
BVLC/caffe,IssueCommentEvent,2016-09-17,7
BVLC/caffe,IssueCommentEvent,2017-12-13,7
BVLC/caffe,IssueCommentEvent,2016-04-02,8
BVLC/caffe,WatchEvent,2015-09-20,8
BVLC/caffe,WatchEvent,2015-10-04,8
BVLC/caffe,IssueCommentEvent,2017-06-16,8
BVLC/caffe,WatchEvent,2015-08-22,8
BVLC/caffe,IssueCommentEvent,2018-03-22,8
BVLC/caffe,IssueCommentEvent,2018-03-20,8
BVLC/caffe,IssueCommentEvent,2017-03-05,8
BVLC/caffe,IssueCommentEvent,2017-02-09,8
BVLC/caffe,IssueCommentEvent,2017-04-25,8
BVLC/caffe,IssueCommentEvent,2017-03-06,8
BVLC/caffe,IssueCommentEvent,2016-09-19,8
BVLC/caffe,IssueCommentEvent,2017-01-25,8
BVLC/caffe,IssueCommentEvent,2016-07-01,8
BVLC/caffe,IssueCommentEvent,2017-11-03,8
BVLC/caffe,IssueCommentEvent,2018-01-10,8
BVLC/caffe,IssueCommentEvent,2017-01-30,8
BVLC/caffe,IssueCommentEvent,2015-05-23,8
BVLC/caffe,IssueCommentEvent,2018-02-16,8
BVLC/caffe,IssueCommentEvent,2017-03-11,8
